Series Name,Series Code,Time,Time Code,World [WLD]
Population, total,SP.POP.TOTL,2000,YR2000,6115108363
Population, total,SP.POP.TOTL,2001,YR2001,6194460444
Population, total,SP.POP.TOTL,2002,YR2002,6273526441
Population, total,SP.POP.TOTL,2003,YR2003,6352677699
Population, total,SP.POP.TOTL,2004,YR2004,6432374971
Population, total,SP.POP.TOTL,2005,YR2005,6512602867
Population, total,SP.POP.TOTL,2006,YR2006,6593623202
Population, total,SP.POP.TOTL,2007,YR2007,6675130418
Population, total,SP.POP.TOTL,2008,YR2008,6757887172
Population, total,SP.POP.TOTL,2009,YR2009,6840591577
Population, total,SP.POP.TOTL,2010,YR2010,6922947261
Population, total,SP.POP.TOTL,2011,YR2011,7004011262
Population, total,SP.POP.TOTL,2012,YR2012,7086993625
Population, total,SP.POP.TOTL,2013,YR2013,7170961674
Population, total,SP.POP.TOTL,2014,YR2014,7255653881
Population, total,SP.POP.TOTL,2015,YR2015,7340548192
Population, total,SP.POP.TOTL,2016,YR2016,7426103221
Population, total,SP.POP.TOTL,2017,YR2017,7510990456
Population, total,SP.POP.TOTL,2018,YR2018,7594270356
Population, total,SP.POP.TOTL,2019,YR2019,..
